,Name of Movie,Year of Release,Genre,Rating
341,RRR (Rise Roar Revolt),2022,"Action, Drama            ",8.0
342,WolfWalkers,2020,"Animation, Adventure, Family            ",8.0
343,Contratiempo,2016,"Crime, Drama, Mystery            ",8.0
344,La La Land,2016,"Comedy, Drama, Music            ",8.0
345,Lion,2016,"Biography, Drama            ",8.0
346,The Martian,2015,"Adventure, Drama, Sci-Fi            ",8.0
347,Mommy,I 2014,Drama            ,8.0
348,Haider,2014,"Action, Crime, Drama            ",8.0
349,Soul,2020,"Animation, Adventure, Comedy            ",8.0
350,Zootopia,2016,"Animation, Adventure, Comedy            ",8.0
351,Bãhubali: The Beginning,2015,"Action, Drama            ",8.0
352,Kaguya-hime no monogatari,2013,"Animation, Drama, Family            ",8.0
353,Special Chabbis,2013,"Crime, Drama, Thriller            ",8.0
354,The Imitation Game,2014,"Biography, Drama, Thriller            ",8.0
355,Guardians of the Galaxy,2014,"Action, Adventure, Comedy            ",8.0
356,Song of the Sea,2014,"Animation, Adventure, Drama            ",8.0
357,Blade Runner 2049,2017,"Action, Drama, Mystery            ",8.0
358,Her,2013,"Drama, Romance, Sci-Fi            ",8.0
359,The Revenant,2015,"Action, Adventure, Drama            ",8.0
360,Tropa de Elite 2: O Inimigo Agora é Outro,2010,"Action, Crime, Drama            ",8.0
361,The King's Speech,2010,"Biography, Drama, History            ",8.0
362,Deadpool,2016,"Action, Adventure, Comedy            ",8.0
363,Zack Snyder's Justice League,2021,"Action, Adventure, Fantasy            ",8.0
364,Ip Man,2008,"Action, Biography, Drama            ",8.0
365,Nefes: Vatan Sagolsun,2009,"Action, Drama, Thriller            ",8.0
366,Dune: Part One,2021,"Action, Adventure, Drama            ",8.0
367,Okuribito,2008,Drama            ,8.0
368,CODA,2021,"Comedy, Drama, Music            ",8.0
369,Slumdog Millionaire,2008,"Crime, Drama, Romance            ",8.0
370,Black Swan,2010,"Drama, Thriller            ",8.0
371,Tropa de Elite,2007,"Action, Crime, Drama            ",8.0
372,The Avengers,2012,"Action, Adventure, Sci-Fi            ",8.0
373,Persepolis,2007,"Animation, Biography, Drama            ",8.0
374,Lage Raho Munna Bhai,2006,"Comedy, Drama, Romance            ",8.0
375,The Pursuit of Happyness,2006,"Biography, Drama            ",8.0
376,Blood Diamond,2006,"Adventure, Drama, Thriller            ",8.0
377,The Bourne Ultimatum,2007,"Action, Mystery, Thriller            ",8.0
378,Dare mo shiranai,2004,Drama            ,8.0
379,Sin City,2005,"Crime, Thriller            ",8.0
380,Le scaphandre et le papillon,2007,"Biography, Drama            ",8.0
381,Taegukgi hwinalrimyeo,2004,"Action, Drama, War            ",8.0
382,G.O.R.A.,2004,"Adventure, Comedy, Sci-Fi            ",8.0
383,Casino Royale,2006,"Action, Adventure, Thriller            ",8.0
384,Kill Bill: Vol. 2,2004,"Action, Crime, Thriller            ",8.0
385,Bom yeoreum gaeul gyeoul geurigo bom,2003,"Drama, Romance            ",8.0
386,Mar adentro,I 2004,"Biography, Drama            ",8.0
387,Cinderella Man,2005,"Biography, Drama, Romance            ",8.0
388,Mou gaan dou,2002,"Action, Crime, Drama            ",8.0
389,Big Fish,2003,"Adventure, Drama, Fantasy            ",8.0
390,The Incredibles,2004,"Animation, Action, Adventure            ",8.0
391,Yeopgijeogin geunyeo,2001,"Comedy, Drama, Romance            ",8.0
392,Dogville,2003,"Crime, Drama            ",8.0
393,Vizontele,2001,"Comedy, Drama            ",8.0
394,Donnie Darko,2001,"Drama, Mystery, Sci-Fi            ",8.0
395,Magnolia,1999,Drama            ,8.0
396,"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997,"Animation, Action, Drama            ",8.0
397,The Straight Story,1999,"Biography, Drama            ",8.0
398,Pâfekuto burû,1997,"Animation, Crime, Drama            ",8.0
